SMILES,energy
C.[HH].[HH].[HH].[HH],-417.9599914550781
C.C.[HH].[HH].[HH].[HH].[HH].[HH],-712.4199829101562
C.C.[HH].[HH].[HH].[HH],-564.2100219726562
C.C.[HH].[HH],-404.8800048828125
C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-808.8699951171875
C.C.O.[HH].[HH].[HH].[HH],-677.1599731445312
C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-796.97998046875
C.C.C.[HH].[HH].[HH].[HH].[HH].[HH],-860.3300170898438
C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1008.489990234375
C.C.C.[HH].[HH].[HH].[HH].[HH].[HH],-861.72998046875
C.C.C.[HH].[HH].[HH].[HH],-708.3699951171875
C.C.N.[HH].[HH].[HH].[HH].[HH],-725.9299926757812
C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-879.3800048828125
C.C.N.[HH].[HH].[HH],-618.719970703125
C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-871.1900024414062
C.C.O.[HH].[HH].[HH].[HH],-653.4400024414062
C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH],-1010.8599853515625
C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1159.4100341796875
C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH],-1003.9099731445312
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1018.4099731445312
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1025.030029296875
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1174.989990234375
C.C.C.N.[HH].[HH].[HH],-768.02001953125
C.C.C.N.[HH],-596.3499755859375
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1177.1600341796875
C.C.C.N.[HH].[HH].[HH].[HH].[HH],-914.2000122070312
C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1155.530029296875
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1168.8399658203125
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1017.3699951171875
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1163.1400146484375
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1029.75
C.C.C.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1028.25
C.C.C.N.[HH].[HH].[HH].[HH].[HH],-871.8599853515625
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-952.5700073242188
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-953.489990234375
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1104.5699462890625
C.C.C.O.[HH].[HH].[HH].[HH],-831.0599975585938
C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1157.4599609375
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1107.8199462890625
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-980.8200073242188
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-973.3200073242188
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1096.0899658203125
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-953.530029296875
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-956.510009765625
C.C.C.O.[HH].[HH],-667.280029296875
C.C.C.O.[HH].[HH].[HH].[HH].[HH].[HH],-958.0499877929688
C.C.C.O.[HH].[HH].[HH].[HH],-799.52001953125
C.C.N.O.[HH].[HH].[HH].[HH].[HH],-816.7000122070312
C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1304.31005859375
C.C.N.O.[HH].[HH].[HH].[HH].[HH],-872.8800048828125
C.C.N.O.[HH].[HH].[HH].[HH].[HH],-860.010009765625
C.C.N.O.[HH].[HH].[HH].[HH].[HH],-803.4600219726562
C.C.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-974.5
C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1305.3199462890625
C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH],-1018.9500122070312
